"X.EMPTY.","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA.","osoite_paikkakunta","lat","lon"
849,"Alepa","Töölöntorinkatu 6",260,"Helsinki","Taka-Töölö",NA,"Ruokakaupat","Töölöntorinkatu 6,Helsinki","60.1786171","24.9246978"
850,"Alepa","Vuorimiehenkatu 29",140,"Helsinki","Ullanlinna",NA,"Ruokakaupat","Vuorimiehenkatu 29,Helsinki","60.1594262","24.945328"
851,"Alepa","Mäkelänkatu 11",550,"Helsinki","Vallila",NA,"Ruokakaupat","Mäkelänkatu 11,Helsinki","60.1918098","24.9621156"
852,"Alepa","Vartiokyläntie 3",950,"Helsinki","Vartioharju",NA,"Ruokakaupat","Vartiokyläntie 3,Helsinki","60.2186313","25.1034334"
853,"Alepa","Viherniemenkatu 9",530,"Helsinki","Siltasaari",NA,"Ruokakaupat","Viherniemenkatu 9,Helsinki","60.1794368","24.9533082"
854,"Alepa","Pursimiehenkatu 4-6",150,"Helsinki","Punavuori",NA,"Ruokakaupat","Pursimiehenkatu 4-6,Helsinki","60.1605623","24.9411704"
855,"Alepa","Ulappasaarentie 2",980,"Helsinki","Keski-Vuosaari",NA,"Ruokakaupat","Ulappasaarentie 2,Helsinki","60.2107043","25.1375169"
856,"Alepa","Korsholmantie 2",900,"Helsinki","Itäkeskus",NA,"Ruokakaupat","Korsholmantie 2,Helsinki","60.2140795","25.0834525"
857,"Alepa","Liisankatu 14",170,"Helsinki","Kruununhaka",NA,"Ruokakaupat","Liisankatu 14,Helsinki","60.1740019","24.9549188"
858,"Alepa","Antti Korpin tie 3",600,"Helsinki","Koskela",NA,"Ruokakaupat","Antti Korpin tie 3,Helsinki","60.2185654","24.9667253"
859,"Alepa","Aleksanterinkatu 9",100,"Helsinki","Kluuvi",NA,"Ruokakaupat","Aleksanterinkatu 9,Helsinki","60.1690528","24.9478405"
860,"Alepa","Rahtarinkatu 2",980,"Helsinki","Niinisaari",NA,"Ruokakaupat","Rahtarinkatu 2,Helsinki","60.2251813","25.1679698"
861,"Alepa","Ohrahuhdantie 8",680,"Helsinki","Tuomarinkartano",NA,"Ruokakaupat","Ohrahuhdantie 8,Helsinki","60.2541043","24.9534154047993"
862,"Alepa","Kotinummentie 68",730,"Helsinki","Tapaninvainio",NA,"Ruokakaupat","Kotinummentie 68,Helsinki","60.26732015","25.0137899585982"
863,"Alepa","Ruoholahdenkatu 23",180,"Helsinki","Kamppi",NA,"Ruokakaupat","Ruoholahdenkatu 23,Helsinki","60.1641245","24.9228409"
864,"Alepa","Runeberginkatu 28",100,"Helsinki","Etu-Töölö",NA,"Ruokakaupat","Runeberginkatu 28,Helsinki","60.174477","24.9218802"
865,"Alepa","Kettutie 2",800,"Helsinki","Länsi-Herttoniemi",NA,"Ruokakaupat","Kettutie 2,Helsinki","60.207118","25.0391224"
866,"Alepa","Mannerheimintie 20",100,"Helsinki","Kluuvi",NA,"Ruokakaupat","Mannerheimintie 20,Helsinki","60.1694564","24.9385667"
867,"Alepa","Puustellinkuja 2",410,"Helsinki","Malminkartano",NA,"Ruokakaupat","Puustellinkuja 2,Helsinki",NA,NA
868,"Alepa","Seunalantie 4",730,"Helsinki","Tapanila",NA,"Ruokakaupat","Seunalantie 4,Helsinki","60.262888","25.0276802"
869,"Alepa","Norkkokuja 3",790,"Helsinki","Latokartano",NA,"Ruokakaupat","Norkkokuja 3,Helsinki","60.22705385","25.027713694672"
878,"Alepa","Leinikkitie 22",1350,"Vantaa","Simonkylä",NA,"Ruokakaupat","Leinikkitie 22,Vantaa","60.3101114","25.0311467"
879,"Alepa","Koivukylän Puistotie 1",1360,"Vantaa","Havukoski",NA,"Ruokakaupat","Koivukylän Puistotie 1,Vantaa","60.3232179","25.0627005"
880,"Alepa","Kuulakuja 5",1280,"Vantaa","Länsimäki",NA,"Ruokakaupat","Kuulakuja 5,Vantaa","60.24484405","25.10943425"
881,"Alepa","Kilpakuja 1",1280,"Vantaa","Länsimäki",NA,"Ruokakaupat","Kilpakuja 1,Vantaa","60.243121","25.1117392"
882,"Alepa","Nissaksentie 1",1200,"Vantaa","Hakunila",NA,"Ruokakaupat","Nissaksentie 1,Vantaa","60.2844531","25.1217565"
883,"Alepa","Nuijatie 12",1650,"Vantaa","Vapaala",NA,"Ruokakaupat","Nuijatie 12,Vantaa","60.2604979","24.8322618"
884,"Alepa","Laajaniityntie 2",1620,"Vantaa","Martinlaakso",NA,"Ruokakaupat","Laajaniityntie 2,Vantaa","60.2765802","24.8476809"
885,"Alepa","Lentäjäntie 3",1530,"Vantaa","Lentokenttä",NA,"Ruokakaupat","Lentäjäntie 3,Vantaa","60.3163194","24.9672702"
886,"Alepa","Hagelstamintie 32",1500,"Vantaa","Pakkala",NA,"Ruokakaupat","Hagelstamintie 32,Vantaa","60.2847805","24.9594413"
887,"Alepa","Koivukylänväylä 66",1390,"Vantaa","Koivukylä",NA,"Ruokakaupat","Koivukylänväylä 66,Vantaa","60.324378","25.0242011"
888,"Alepub","Mannerheimintie 5",100,"Helsinki","Kluuvi",NA,"Baarit ja yökerhot","Mannerheimintie 5,Helsinki","60.16948605","24.9400033915131"
889,"Alfa Moda","Urho Kekkosen katu 1",100,"Helsinki","Kamppi",NA,"Vaatekaupat","Urho Kekkosen katu 1,Helsinki","60.1694465","24.932871"
899,"Alko","Espoonlahdenkatu 4",2320,"Espoo","Espoonlahti",NA,"Alkot","Espoonlahdenkatu 4,Espoo","60.1493709","24.6548564"
900,"Alko","Piispansilta 11",2230,"Espoo","Matinkylä",NA,"Alkot","Piispansilta 11,Espoo","60.1620733","24.7375304"
901,"Alko","Leppävaarankatu 3-9",2600,"Espoo","Etelä-Leppävaara",NA,"Alkot","Leppävaarankatu 3-9,Espoo","60.2188216","24.8128941"
902,"Alko","Sinikalliontie 1-3",2630,"Espoo","Taavinkylä",NA,"Alkot","Sinikalliontie 1-3,Espoo","60.2043368","24.7631391"
903,"Alko","Niittykummuntie 2",2200,"Espoo","Niittykumpu",NA,"Alkot","Niittykummuntie 2,Espoo","60.1695185","24.760176"
904,"Alko","Komeetankatu 2",2210,"Espoo","Kuitinmäki",NA,"Alkot","Komeetankatu 2,Espoo","60.1663462","24.7327114"
905,"Alko","Siltakatu 11",2770,"Espoo","Suvela",NA,"Alkot","Siltakatu 11,Espoo","60.2035124","24.6590606"
906,"Alko","Lähderanta 1",2720,"Espoo","Lähderanta",NA,"Alkot","Lähderanta 1,Espoo","60.2414761","24.738987"
907,"Alko","Tapionaukio 4",2100,"Espoo","Tapiola",NA,"Alkot","Tapionaukio 4,Espoo","60.1771023","24.8051735018373"
